,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,NT+nt,NT+rp,NT+rt,NT+tw,RP+nt,RP+rp,RP+rt,RP+tw,RT+nt,RT+rp,RT+rt,RT+tw,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
605,1492,2713,99203,2.4642857142857144,0.14285714285714285,1.0,8,10,10,1586,0.0,0.71255284,0.44019625,0.50763432,0.82215624,1.53470908,1.26235248,1.32979055,0.88131466,1.5938675,1.32151091,1.38894897,0.5555555555555556,1.6111111111111112,2.0,8.277777777777779,14.277777777777779,1,1,7.630218572956716e-21,0.0
606,358,999,15977,1.608695652173913,0.13043478260869565,0.6956521739130435,21,1,1,3349,0.0,4.29760743,0.90606208,0.42635038,5.0467017,9.34430913,5.95276379,5.47305209,-4.09582977,0.20177766,-3.18976769,-3.66947939,1.9090909090909092,4.818181818181818,0.7727272727272727,10.681818181818182,22.181818181818183,0,0,-2.18731661485951e-19,0.0
607,1476,1474,7904,1.2424242424242424,0.1414141414141414,1.6161616161616161,1,8,90,990,0.0,1.17758289,0.4800053,0.65149461,0.94318434,2.12076723,1.42318964,1.59467895,0.21680695,1.39438984,0.69681225,0.86830156,1.8021978021978022,8.648351648351648,1.010989010989011,17.934065934065934,23.13186813186813,1,1,-3.474179518159085e-20,0.0
608,2806,3103,11000,1.4411764705882353,0.07352941176470588,44.51470588235294,26,37,5,3836,0.0,0.90626341,0.28699825,0.479123,0.2922458,1.19850921,0.57924405,0.7713688,0.84977995,1.75604336,1.1367782,1.32890295,0.41935483870967744,1.2580645161290323,0.7741935483870968,4.967741935483871,13.612903225806452,0,4,-5.805857286584572e-19,0.0
609,48,248,2008,1.4444444444444444,0.8888888888888888,1.4444444444444444,3,5,10,1790,0.0,0.20444624,0.52259644,10.9465234,0.99316176,1.197608,1.5157582,11.93968516,-0.06838198,0.13606426,0.45421446,10.87814142,1.2307692307692308,4.230769230769231,0.38461538461538464,10.076923076923077,31.846153846153847,0,0,-2.555907473833579e-19,0.0
610,6433,6425,402919,2.888888888888889,0.5555555555555556,2.6666666666666665,2,2,5,4428,0.0,0.7518231,0.77460189,49.81004414,4.09238575,4.84420886,4.86698765,53.90242989,86.56725414,87.31907724,87.34185603,136.37729828,1.7142857142857142,1.4285714285714286,0.7142857142857143,3.2857142857142856,6.714285714285714,0,0,1.0746254609233012e-19,0.0
611,250746,2925,174816,72.16666666666667,6.0,239.0,3,3,0,4993,0.0,0.0114915651,0.0561860485,-11.9609915,0.366086362,0.377577927,0.42227241,-11.5949052,16.6970468,16.7085384,16.7532329,4.7360553,0.0,1.3333333333333333,1.3333333333333333,7.333333333333333,15.0,4,1,0.057525676255558336,7.92402686854649e-06
612,188,319,10028,0.19444444444444445,0.1111111111111111,890.0277777777778,1,33,2,3707,0.0,0.01749831,0.82106002,1.13355763,0.5681313,0.58562961,1.38919132,1.70168892,0.83906584,0.85656415,1.66012586,1.97262346,0.6666666666666666,7.0,0.0,7.0,7.0,1,11,-3.673428629577803e-19,0.0
613,731,139,4614,3.533333333333333,0.2,22.133333333333333,11,4,0,1305,0.0,0.18729559,0.81707,-12.06122538,0.93473876,1.12203436,1.75180876,-11.12648661,13.69767171,13.88496731,14.51474171,1.63644634,0.0,5.090909090909091,1.0,8.272727272727273,21.363636363636363,2,1,0.0008800408691137803,0.0
614,7,69,85,2.0434782608695654,0.5217391304347826,0.391304347826087,21,0,2,3408,0.0,0.71895472,0.39918627,1.7035792,1.0585099,1.77746462,1.45769617,2.7620891,1.22656725,1.94552197,1.62575352,2.93014645,0.08695652173913043,2.347826086956522,0.30434782608695654,9.434782608695652,23.695652173913043,1,0,-3.1420935763396368e-19,0.0
